Name,Lon[º],Lat[º],easting[m],northing[m],elevation[m]
MP0,-1.5566803048,42.6943894448,618225,4727888,1123
MP1,-1.571312653,42.6935463113,617028,4727774,1118
MP3,-1.5643833859,42.6949275288,617593,4727937,1110
MP5,-1.5577719512,42.6952226833,618134,4727979,1123
MP6,-1.5547368517,42.6955446341,618382,4728019,1115
A1,-1.5687393697,42.6913078709,617243,4727529,1125
A2,-1.5663695162,42.6919086033,617436,4727599,1125
A3,-1.5626476585,42.6923752563,617740,4727656,1115
A4,-1.5590858596,42.6927807647,618031,4727706,1121
A5,-1.5555480085,42.6932044748,618320,4727758,1123
A6,-1.5526641261,42.6938524704,618555,4727834,1116
